Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,UHF 1,476.425000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
1,UHF 2,476.450000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
2,UHF 3,476.475000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
3,UHF 4,476.500000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
4,UHF 5,476.525000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
5,UHF 6,476.550000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
6,UHF 7,476.575000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
7,UHF 8,476.600000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
8,UHF 9,476.625000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
9,UHF 10,476.650000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
10,UHF 11,476.675000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
11,UHF 12,476.700000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
12,UHF 13,476.725000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
13,UHF 14,476.750000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
14,UHF 15,476.775000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
15,UHF 16,476.800000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
16,UHF 17,476.825000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
17,UHF 18,476.850000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
18,UHF 19,476.875000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
19,UHF 20,476.900000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
20,UHF 21,476.925000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
21,UHF 22,476.950000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
22,UHF 23,476.975000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
23,UHF 24,477.000000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
24,UHF 25,477.025000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
25,UHF 26,477.050000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
26,UHF 27,477.075000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
27,UHF 28,477.100000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
28,UHF 29,477.125000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
29,UHF 30,477.150000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
30,UHF 31,477.175000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
31,UHF 32,477.200000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
32,UHF 33,477.225000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
33,UHF 34,477.250000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
34,UHF 35,477.275000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
35,UHF 36,477.300000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
36,UHF 37,477.325000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
37,UHF 38,477.350000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
38,UHF 39,477.375000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
39,UHF 40,477.400000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
40,UHF 41,476.437500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
41,UHF 42,476.462500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
42,UHF 43,476.487500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
43,UHF 44,476.512500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
44,UHF 45,476.537500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
45,UHF 46,476.562500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
46,UHF 47,476.587500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
47,UHF 48,476.612500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
48,UHF 49,476.637500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
49,UHF 50,476.662500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
50,UHF 51,476.687500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
51,UHF 52,476.712500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
52,UHF 53,476.737500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
53,UHF 54,476.762500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
54,UHF 55,476.787500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
55,UHF 56,476.812500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
56,UHF 57,476.837500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
57,UHF 58,476.862500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
58,UHF 59,476.887500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
59,UHF 60,476.912500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
60,UHF 61,476.937500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
61,UHF 62,476.962500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
62,UHF 63,476.987500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
63,UHF 64,477.012500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
64,UHF 65,477.037500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
65,UHF 66,477.062500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
66,UHF 67,477.087500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
67,UHF 68,477.112500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
68,UHF 69,477.137500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
69,UHF 70,477.162500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
70,UHF 71,477.187500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
71,UHF 72,477.212500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
72,UHF 73,477.237500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
73,UHF 74,477.262500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
74,UHF 75,477.287500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
75,UHF 76,477.312500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
76,UHF 77,477.337500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
77,UHF 78,477.362500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
78,UHF 79,477.387500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
79,UHF 80,477.412500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
80,UHF 1,476.425000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
81,UHF 2,476.450000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
82,UHF 3,476.475000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
83,UHF 4,476.500000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
84,UHF 5,476.525000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
85,UHF 6,476.550000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
86,UHF 7,476.575000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
87,UHF 8,476.600000,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
88,UHF 41,476.437500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
89,UHF 42,476.462500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
90,UHF 43,476.487500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
91,UHF 44,476.512500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
92,UHF 45,476.537500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
93,UHF 46,476.562500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
94,UHF 47,476.587500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
95,UHF 48,476.612500,+,0.750000,,100.0,100.0,023,NN,FM,12.50,,,,,,
